model_id,total_rows,acc_exact_match,acc_exact_match_lo,acc_exact_match_hi,acc_judge_pass,acc_judge_pass_lo,acc_judge_pass_hi,acc_consensus,acc_consensus_lo,acc_consensus_hi,uncertain_bucket_pct,uncertain_bucket_pct_lo,uncertain_bucket_pct_hi,catastrophic_count,canonical_pass_count,canonical_total,hallucination_rate_any,hallucination_rate_any_lo,hallucination_rate_any_hi,hallucination_rate_fabricated,hallucination_rate_fabricated_lo,hallucination_rate_fabricated_hi,refusal_count,latency_p50_ms,latency_p95_ms,latency_ttft_p50_ms,cost_total_usd,cost_per_correct_usd,vendor,family,model_full_name,params_total,params_active,architecture,context_window,license,open_weight,release_date
gpt-5-5,501,75.25,71.29,78.83,92.81,90.21,94.76,75.25,71.29,78.83,17.96,14.85,21.57,7,6,9,12.38,9.77,15.55,6.59,4.73,9.11,0,1397.8,3563.7,1333.5,0.516482,0.001111,OpenAI,gpt,GPT-5.5,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-23
gemini-3-flash-preview,501,75.65,71.7,79.2,90.82,87.97,93.05,75.65,71.7,79.2,15.57,12.66,19.0,11,8,9,12.18,9.6,15.33,6.19,4.39,8.65,0,1749.0,5503.7,1737.8,,,,,,,,,,,,
grok-4,501,73.05,69.0,76.75,90.22,87.3,92.52,73.05,69.0,76.75,17.56,14.48,21.14,14,7,9,11.98,9.42,15.11,7.19,5.24,9.79,3,15960.5,43083.4,14002.0,4.949432,0.01095,xAI,grok,Grok 4,undisclosed,undisclosed,unknown,256K,Proprietary,false,2025-07-09
gemini-3-1-pro-preview,501,69.46,65.29,73.33,89.02,85.98,91.47,69.46,65.29,73.33,19.76,16.51,23.47,11,7,9,10.98,8.53,14.02,5.99,4.23,8.42,0,3803.5,9044.0,3760.0,,,,,,,,,,,,
claude-opus-4-7,501,59.88,55.53,64.08,88.62,85.54,91.11,59.68,55.33,63.89,29.54,25.71,33.68,15,6,9,13.57,10.85,16.85,7.39,5.41,10.01,0,,1577.4,,,,Anthropic,claude,Claude Opus 4.7,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-04-16
claude-sonnet-4-6,501,60.68,56.34,64.86,85.23,81.85,88.07,60.48,56.13,64.66,25.55,21.93,29.54,15,7,9,14.77,11.93,18.15,7.58,5.58,10.24,0,1114.4,1822.5,787.9,,,Anthropic,claude,Claude Sonnet 4.6,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-02-17
qwen3-32b-groq,501,67.86,63.65,71.8,83.43,79.93,86.43,67.86,63.65,71.8,15.97,13.02,19.43,38,7,9,18.56,15.4,22.2,7.98,5.92,10.69,0,1409.6,3318.6,763.1,0.142326,0.00034,Alibaba/Qwen,qwen,Qwen3-32B,32B,32B,dense,128K,Apache-2.0,true,2025-04-29
nemotron-3-super-120b,501,68.66,64.47,72.57,81.84,78.22,84.97,68.46,64.27,72.38,13.97,11.21,17.28,44,7,9,18.96,15.77,22.63,11.38,8.89,14.46,0,6418.1,22820.0,9757.7,0.041815,0.000102,Nvidia,nemotron,NVIDIA-Nemotron-3-Super-120B-A12B,120B,12B,moe,1M,Nvidia-Open-Model,true,2026-03-11
gpt-oss-120b-groq,501,69.26,65.09,73.14,81.04,77.37,84.23,69.06,64.88,72.95,12.77,10.13,15.98,39,7,9,15.17,12.29,18.58,8.98,6.78,11.81,0,607.8,1761.2,724.2,0.072081,0.000178,OpenAI,gpt-oss,gpt-oss-120b,117B,5.1B,moe,128K,Apache-2.0,true,2025-08-05
gpt-5-4-mini,501,62.67,58.36,66.8,79.64,75.9,82.93,62.67,58.36,66.8,17.56,14.48,21.14,22,4,9,14.77,11.93,18.15,6.99,5.07,9.56,0,417.1,640.0,359.8,0.018604,4.7e-05,OpenAI,gpt,GPT-5.4-mini,undisclosed,undisclosed,unknown,1M,Proprietary,false,2026-03-17
gpt-oss-120b,501,67.86,63.65,71.8,79.44,75.68,82.75,67.86,63.65,71.8,12.38,9.77,15.55,45,4,9,18.56,15.4,22.2,9.78,7.48,12.7,0,3175.9,14009.9,2390.0,0.034725,8.7e-05,OpenAI,gpt-oss,gpt-oss-120b,117B,5.1B,moe,128K,Apache-2.0,true,2025-08-05
qwen3-5-122b,501,64.47,60.18,68.54,77.64,73.79,81.07,64.47,60.18,68.54,13.57,10.85,16.85,62,7,9,23.95,20.42,27.88,9.78,7.48,12.7,0,13897.6,55927.4,,3.80688,0.009786,Alibaba/Qwen,qwen,Qwen3.5-122B-A10B,122B,10B,moe,256K,Apache-2.0,true,2026-02-24
qwen3-next-80b,501,60.28,55.93,64.47,75.65,71.7,79.2,60.28,55.93,64.47,16.17,13.2,19.65,31,6,9,18.16,15.03,21.78,10.18,7.83,13.14,0,624.5,1358.6,534.4,0.017658,4.7e-05,Alibaba/Qwen,qwen,Qwen3-Next-80B-A3B-Instruct,80B,3B,moe,256K,Apache-2.0,true,2025-09-11
qwen3-5-27b,501,58.08,53.72,62.33,75.45,71.5,79.01,58.08,53.72,62.33,17.96,14.85,21.57,87,5,9,25.95,22.3,29.96,11.78,9.24,14.89,0,12625.0,98811.9,,2.369762,0.006269,Alibaba/Qwen,qwen,Qwen3.5-27B,27B,27B,dense,256K,Apache-2.0,true,2026-02-24
gpt-oss-20b,501,64.87,60.59,68.92,75.45,71.5,79.01,64.67,60.39,68.73,11.78,9.24,14.89,57,5,9,20.96,17.62,24.74,10.58,8.18,13.58,1,2164.0,13624.4,36513.4,0.033898,9e-05,OpenAI,gpt-oss,gpt-oss-20b,21B,3.6B,moe,128K,Apache-2.0,true,2025-08-05
gpt-oss-20b-groq,501,64.47,60.18,68.54,75.25,71.29,78.83,64.47,60.18,68.54,11.38,8.89,14.46,55,5,9,20.36,17.07,24.1,10.38,8.0,13.36,2,620.3,2219.0,,0.043063,0.000114,OpenAI,gpt-oss,gpt-oss-20b,21B,3.6B,moe,128K,Apache-2.0,true,2025-08-05
qwen3-14b,501,58.88,54.52,63.11,74.45,70.46,78.07,58.88,54.52,63.11,15.97,13.02,19.43,49,6,9,19.96,16.69,23.68,8.98,6.78,11.81,0,11775.6,21302.4,4930.7,0.090989,0.000244,Alibaba/Qwen,qwen,Qwen3-14B,14B,14B,dense,128K,Apache-2.0,true,2025-04-29
llama-4-maverick,501,58.88,54.52,63.11,74.25,70.25,77.89,58.88,54.52,63.11,16.17,13.2,19.65,46,5,9,24.55,20.99,28.5,10.78,8.36,13.8,0,691.3,1354.0,480.6,0.026711,7.2e-05,Meta,llama,Llama-4-Maverick-17B-128E-Instruct,400B,17B,moe,1M,Llama-4-Community,true,2025-04-05
claude-haiku-4-5,501,55.69,51.31,59.98,73.85,69.83,77.51,55.49,51.11,59.78,19.36,16.14,23.05,43,5,9,21.56,18.18,25.37,11.98,9.42,15.11,1,536.3,1313.1,419.5,,,Anthropic,claude,Claude Haiku 4.5,undisclosed,undisclosed,unknown,200K,Proprietary,false,2025-10-15
deepseek-v3-2,501,59.68,55.33,63.89,73.85,69.83,77.51,59.68,55.33,63.89,14.77,11.93,18.15,21,5,9,16.17,13.2,19.65,8.38,6.26,11.14,0,1975.7,3751.6,1649.0,0.027603,7.5e-05,DeepSeek,deepseek,DeepSeek-V3.2,685B,37B,moe,128K,MIT,true,2025-12-01
qwen3-235b,501,58.08,53.72,62.33,73.45,69.42,77.13,58.08,53.72,62.33,15.97,13.02,19.43,37,4,9,24.35,20.8,28.3,11.38,8.89,14.46,0,1195.4,5970.6,632.4,0.012875,3.5e-05,Alibaba/Qwen,qwen,Qwen3-235B-A22B-Instruct-2507,235B,22B,moe,256K,Apache-2.0,true,2025-07-22
mistral-small-2603,501,30.74,26.86,34.91,73.05,69.0,76.75,30.74,26.86,34.91,43.71,39.43,48.09,36,5,9,25.75,22.11,29.75,9.78,7.48,12.7,2,604.8,1141.0,507.6,0.014701,4e-05,Mistral,mistral,Mistral-Small-4-119B-2603,119B,6B,moe,256K,Apache-2.0,true,2026-03-16
nemotron-3-nano-30b,501,63.07,58.76,67.19,73.05,69.0,76.75,62.87,58.56,66.99,11.18,8.71,14.24,53,6,9,20.56,17.25,24.32,12.97,10.31,16.2,0,4426.1,17149.0,4244.0,0.039647,0.000108,Nvidia,nemotron,NVIDIA-Nemotron-3-Nano-30B-A3B,30B,3B,moe,128K,Nvidia-Open-Model,true,2025-12-15
gpt-oss-120b-cerebras,501,62.67,58.36,66.8,72.65,68.59,76.37,62.67,58.36,66.8,10.58,8.18,13.58,42,6,9,25.75,22.11,29.75,11.58,9.06,14.68,2,401.6,1213.6,621.6,0.113408,0.000312,OpenAI,gpt-oss,gpt-oss-120b,117B,5.1B,moe,128K,Apache-2.0,true,2025-08-05
mistral-small-3-2-24b,501,46.31,41.99,50.69,72.46,68.38,76.18,46.31,41.99,50.69,27.54,23.82,31.62,37,3,9,26.35,22.68,30.37,10.78,8.36,13.8,0,437.1,956.0,302.6,0.009258,2.6e-05,Mistral,mistral,Mistral-Small-3.2-24B-Instruct-2506,24B,24B,dense,128K,Apache-2.0,true,2025-06-20
qwen3-235b-cerebras,501,52.89,48.52,57.23,71.46,67.35,75.24,52.89,48.52,57.23,19.36,16.14,23.05,36,5,9,24.35,20.8,28.3,11.58,9.06,14.68,0,269.2,804.1,245.3,,,Alibaba/Qwen,qwen,Qwen3-235B-A22B-Instruct-2507,235B,22B,moe,256K,Apache-2.0,true,2025-07-22
deepseek-v3-1-terminus,501,59.68,55.33,63.89,71.06,66.94,74.86,59.68,55.33,63.89,11.98,9.42,15.11,19,4,9,15.37,12.48,18.79,7.78,5.75,10.46,0,1621.3,3190.8,1289.2,0.026368,7.4e-05,DeepSeek,deepseek,DeepSeek-V3.1-Terminus,685B,37B,moe,128K,MIT,true,2025-09-22
llama-3-3-70b,501,48.3,43.96,52.68,69.66,65.5,73.52,48.3,43.96,52.68,22.16,18.74,26.0,72,5,9,26.95,23.25,31.0,16.17,13.2,19.65,1,552.5,1233.2,396.0,,,Meta,llama,Llama-3.3-70B-Instruct,70B,70B,dense,128K,Llama-3.3-Community,true,2024-12-06
gemma-3-27b-it,501,50.5,46.13,54.86,69.46,65.29,73.33,50.5,46.13,54.86,19.56,16.32,23.26,49,6,9,22.95,19.49,26.83,11.38,8.89,14.46,2,837.0,5923.9,561.8,0.010354,3e-05,Google,gemma,Gemma-3-27B-IT,27B,27B,dense,128K,Gemma-Terms,true,2025-03-12
qwen3-5-397b,501,59.88,55.53,64.08,69.46,65.29,73.33,59.88,55.53,64.08,9.78,7.48,12.7,134,6,9,33.33,29.35,37.57,2.99,1.82,4.88,0,17988.0,140963.5,,,,Alibaba/Qwen,qwen,Qwen3.5-397B-A17B,397B,17B,moe,256K,Apache-2.0,true,2026-02-16
llama-3-1-70b,501,39.32,35.14,43.66,68.46,64.27,72.38,39.32,35.14,43.66,30.34,26.48,34.5,78,7,9,28.54,24.76,32.65,16.37,13.39,19.86,4,505.6,1108.7,249.6,0.051124,0.000149,Meta,llama,Llama-3.1-70B-Instruct,70B,70B,dense,128K,Llama-3.1-Community,true,2024-07-23
llama-3-3-70b-groq,501,45.51,41.2,49.89,67.66,63.45,71.61,45.51,41.2,49.89,23.55,20.05,27.46,77,5,9,29.14,25.33,33.27,19.36,16.14,23.05,1,358.4,685.4,328.8,0.070825,0.000209,Meta,llama,Llama-3.3-70B-Instruct,70B,70B,dense,128K,Llama-3.3-Community,true,2024-12-06
nemotron-nano-9b,501,52.5,48.12,56.83,67.07,62.83,71.04,52.5,48.12,56.83,15.17,12.29,18.58,64,5,9,26.35,22.68,30.37,10.78,8.36,13.8,0,3746.4,10076.2,2346.1,0.037409,0.000111,Nvidia,nemotron,NVIDIA-Nemotron-Nano-9B-v2,9B,9B,dense,128K,Nvidia-Open-Model,true,2025-08-18
qwen3-8b,501,51.1,46.73,55.45,66.67,62.43,70.65,51.1,46.73,55.45,16.17,13.2,19.65,43,6,9,19.16,15.96,22.84,11.38,8.89,14.46,0,7201.3,24161.7,7035.7,0.130623,0.000391,Alibaba/Qwen,qwen,Qwen3-8B,8B,8B,dense,128K,Apache-2.0,true,2025-04-29
olmo-3-1-32b,501,52.89,48.52,57.23,66.27,62.02,70.27,52.89,48.52,57.23,14.37,11.57,17.71,66,5,9,26.75,23.06,30.79,16.77,13.75,20.29,0,358.9,753.3,201.6,0.023305,7e-05,Allen AI,olmo,Olmo-3.1-32B-Instruct,32B,32B,dense,64K,Apache-2.0,true,2025-12-10
nemotron-super-49b,501,51.1,46.73,55.45,61.68,57.35,65.83,51.1,46.73,55.45,11.38,8.89,14.46,139,3,9,33.93,29.92,38.19,6.19,4.39,8.65,0,8967.3,20221.3,,0.125188,0.000405,Nvidia,nemotron,Llama-3.3-Nemotron-Super-49B-v1.5,49B,49B,dense,128K,Nvidia-Open-Model,true,2025-04-29
qwen3-30b,501,46.71,42.38,51.08,60.68,56.34,64.86,46.71,42.38,51.08,14.57,11.75,17.93,47,3,9,23.55,20.05,27.46,9.38,7.13,12.25,0,1036.3,4411.4,780.0,0.011794,3.9e-05,Alibaba/Qwen,qwen,Qwen3-30B-A3B-Instruct-2507,30B,3B,moe,256K,Apache-2.0,true,2025-07-29
llama-4-scout-groq,501,45.51,41.2,49.89,60.48,56.13,64.66,45.51,41.2,49.89,15.97,13.02,19.43,65,3,9,29.34,25.52,33.47,15.37,12.48,18.79,0,257.9,674.8,217.9,0.013112,4.3e-05,Meta,llama,Llama-4-Scout-17B-16E-Instruct,109B,17B,moe,10M,Llama-4-Community,true,2025-04-05
granite-4-1-8b,501,43.71,39.43,48.09,57.49,53.12,61.74,43.71,39.43,48.09,15.77,12.84,19.22,92,3,9,35.93,31.85,40.22,17.56,14.48,21.14,1,255.2,562.5,168.1,0.005901,2e-05,IBM,granite,Granite-4.1-8B-Instruct,8B,8B,dense,128K,Apache-2.0,true,2026-04-30
nemotron-llama-3-1-70b,501,32.14,28.2,36.35,56.49,52.11,60.76,32.14,28.2,36.35,26.15,22.49,30.17,94,4,9,44.71,40.41,49.09,27.94,24.19,32.03,0,626.1,3008.7,288.4,0.135562,0.000479,Nvidia,nemotron,Llama-3.1-Nemotron-70B-Instruct,70B,70B,dense,128K,Nvidia-Open-Model,true,2024-10-15
llama-4-scout,501,39.72,35.53,44.07,56.49,52.11,60.76,39.72,35.53,44.07,17.37,14.3,20.93,72,5,9,32.93,28.96,37.17,11.98,9.42,15.11,0,373.6,895.4,227.5,0.013329,4.7e-05,Meta,llama,Llama-4-Scout-17B-16E-Instruct,109B,17B,moe,10M,Llama-4-Community,true,2025-04-05
gemma-3-12b-it,501,41.12,36.89,45.48,55.89,51.51,60.17,41.12,36.89,45.48,15.37,12.48,18.79,63,5,9,29.74,25.9,33.89,13.17,10.49,16.42,1,554.1,1050.4,465.5,0.006859,2.4e-05,Google,gemma,Gemma-3-12B-IT,12B,12B,dense,128K,Gemma-Terms,true,2025-03-12
granite-4-0-h-micro,501,34.93,30.88,39.21,48.3,43.96,52.68,34.93,30.88,39.21,15.17,12.29,18.58,124,4,9,34.13,30.11,38.39,21.56,18.18,25.37,0,738.0,1348.7,478.3,0.002271,9e-06,IBM,granite,Granite-4.0-H-Micro,3B,3B,dense,128K,Apache-2.0,true,2025-10-02
ministral-14b,501,17.76,14.67,21.35,47.7,43.37,52.08,17.76,14.67,21.35,32.14,28.2,36.35,52,4,9,39.92,35.72,44.27,16.37,13.39,19.86,0,542.4,5657.7,391.6,,,Mistral,ministral,Ministral-3-14B-Instruct-2512,14B,14B,dense,128K,Apache-2.0,true,2025-12-02
phi-4,501,31.14,27.24,35.32,45.31,41.0,49.69,31.14,27.24,35.32,16.17,13.2,19.65,123,1,9,45.91,41.59,50.29,26.55,22.87,30.58,1,636.7,1887.5,475.6,0.008296,3.7e-05,Microsoft,phi,Phi-4,14B,14B,dense,16K,MIT,true,2024-12-12
llama-3-1-8b,501,22.16,18.74,26.0,44.71,40.41,49.09,22.16,18.74,26.0,23.35,19.86,27.25,118,1,9,39.92,35.72,44.27,21.16,17.81,24.95,8,587.3,1089.9,425.1,0.002993,1.3e-05,Meta,llama,Llama-3.1-8B-Instruct,8B,8B,dense,128K,Llama-3.1-Community,true,2024-07-23
ministral-8b,501,14.97,12.11,18.36,42.71,38.45,47.09,14.97,12.11,18.36,29.94,26.09,34.09,66,4,9,46.71,42.38,51.08,16.97,13.93,20.5,0,568.0,3375.1,372.4,,,Mistral,ministral,Ministral-8B-Instruct-2410,8B,8B,dense,128K,Apache-2.0,true,2024-10-16
qwen3-5-35b,501,34.13,30.11,38.39,39.72,35.53,44.07,34.13,30.11,38.39,5.59,3.89,7.96,275,1,9,59.88,55.53,64.08,2.99,1.82,4.88,0,8703.4,45019.2,,1.993867,0.010019,Alibaba/Qwen,qwen,Qwen3.5-35B-A3B,35B,3B,moe,256K,Apache-2.0,true,2026-02-24
mistral-nemo,501,22.36,18.93,26.21,39.52,35.34,43.87,22.36,18.93,26.21,20.16,16.88,23.89,79,2,9,54.49,50.11,58.8,17.17,14.12,20.71,0,1072.8,4895.7,709.3,0.002561,1.3e-05,Mistral,mistral,Mistral-Nemo-Instruct-2407,12B,12B,dense,128K,Apache-2.0,true,2024-07-18
llama-3-2-3b,501,16.97,13.93,20.5,33.13,29.15,37.37,16.97,13.93,20.5,16.97,13.93,20.5,157,2,9,54.89,50.51,59.19,25.95,22.3,29.96,3,493.6,1469.3,409.0,0.006996,4.2e-05,Meta,llama,Llama-3.2-3B-Instruct,3B,3B,dense,128K,Llama-3.2-Community,true,2024-09-25
ministral-3b,501,15.97,13.02,19.43,31.74,27.81,35.94,15.97,13.02,19.43,17.17,14.12,20.71,106,2,9,53.09,48.72,57.42,31.14,27.24,35.32,1,493.2,1073.5,379.6,0.008547,5.4e-05,Mistral,ministral,Ministral-3-3B-Instruct-2512,3B,3B,dense,128K,Apache-2.0,true,2025-12-02
qwen3-5-9b,501,25.55,21.93,29.54,26.35,22.68,30.37,25.55,21.93,29.54,0.8,0.31,2.03,359,2,9,74.65,70.66,78.26,1.8,0.95,3.38,0,7148.5,16952.5,,0.079008,0.000599,Alibaba/Qwen,qwen,Qwen3.5-9B,9B,9B,dense,256K,Apache-2.0,true,2026-03-02
gemma-3-4b-it,501,16.77,13.75,20.29,24.15,20.61,28.09,16.77,13.75,20.29,8.58,6.43,11.36,115,0,9,40.52,36.31,44.87,19.36,16.14,23.05,2,377.7,940.4,262.6,0.004794,4e-05,Google,gemma,Gemma-3-4B-IT,4B,4B,dense,128K,Gemma-Terms,true,2025-03-12
